epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,248.327,2.06139,1.28714,0.97901,0.40321,0.5116,0.43244,0.19392,2.37236,1.72971,1.23174,0.000392703,0.000392703,0.000392703
91,250.866,2.03642,1.24906,0.97105,0.47049,0.42411,0.4218,0.17637,2.40285,1.72902,1.23156,0.000390868,0.000390868,0.000390868
92,253.39,2.03185,1.2382,0.97143,0.41629,0.4536,0.38326,0.17243,2.43212,1.81,1.22451,0.000389033,0.000389033,0.000389033
93,256.006,2.00497,1.25483,0.97583,0.48372,0.44079,0.39814,0.17916,2.40266,1.79153,1.22941,0.000387198,0.000387198,0.000387198
94,258.592,2.01314,1.23099,0.97673,0.46185,0.4802,0.45136,0.19867,2.39912,1.76063,1.24924,0.000385364,0.000385364,0.000385364
95,261.332,2.01149,1.20019,0.97637,0.5365,0.56886,0.5041,0.20642,2.41585,1.82525,1.24769,0.000383529,0.000383529,0.000383529
96,263.855,2.03205,1.20723,0.97186,0.5032,0.52668,0.47949,0.21453,2.37602,1.73008,1.25031,0.000381694,0.000381694,0.000381694
97,266.244,2.0497,1.22646,0.97954,0.43856,0.47137,0.42917,0.15967,2.4116,1.72707,1.25673,0.000379859,0.000379859,0.000379859
98,268.767,1.9929,1.19719,0.97693,0.50038,0.43645,0.44581,0.19443,2.38996,1.78036,1.2182,0.000378024,0.000378024,0.000378024
99,271.238,2.03764,1.23051,0.97197,0.49597,0.41608,0.43839,0.19078,2.38906,1.75872,1.23,0.00037619,0.00037619,0.00037619
100,273.765,2.04352,1.19523,0.96627,0.45046,0.45648,0.44001,0.20211,2.37343,1.76544,1.21871,0.000374355,0.000374355,0.000374355
101,276.254,2.01335,1.19811,0.98725,0.49078,0.49838,0.48289,0.2375,2.3627,1.72335,1.22087,0.00037252,0.00037252,0.00037252
102,278.769,1.98535,1.19348,0.96469,0.47637,0.49575,0.47655,0.23593,2.35635,1.70081,1.22287,0.000370685,0.000370685,0.000370685
103,281.331,1.94323,1.17665,0.99517,0.49253,0.45988,0.45768,0.226,2.39123,1.69112,1.23043,0.00036885,0.00036885,0.00036885
104,283.863,1.98196,1.177,0.96601,0.44165,0.49849,0.44582,0.21472,2.4001,1.7364,1.22482,0.000367016,0.000367016,0.000367016
105,286.354,1.9131,1.20235,0.99235,0.43992,0.51146,0.43615,0.21191,2.39449,1.75329,1.23012,0.000365181,0.000365181,0.000365181
106,288.927,2.0122,1.18623,0.96391,0.45016,0.45555,0.41892,0.19161,2.36499,1.7051,1.22769,0.000363346,0.000363346,0.000363346
107,291.435,1.94859,1.17496,0.97994,0.47605,0.45514,0.41854,0.19614,2.3933,1.71059,1.2405,0.000361511,0.000361511,0.000361511
